﻿統一編號,經紀業名稱,緯度,經度,行政區,地址
84564805,國鉅房屋仲介有限公司,24.1704441,120.687664,台中市北屯區,平安里北平路四段44之1號
86243688,工商不動產投資顧問有限公司,24.1556755,120.6099158,台中市南屯區,工業十八路31之1號
23209543,正派房屋仲介有限公司,24.118676,120.679616,台中市南區,國光路453號1樓
13041503,信望愛不動產有限公司,24.1906383,120.6614235,台中市北屯區,中清路2段1062號1樓
74881021,泰邦房屋租售中心,24.1726945,120.6420361,台中市西屯區,上安里青海路2段277號1樓
13051488,元大東有限公司,24.1847387,120.6644041,台中市北屯區,新平里中清路2段675號
13064272,冠鈞不動產經紀股份有限公司,24.1374678,120.6497125,台中市南屯區,同心里大墩路17號1樓
13044348,瑞成不動產經紀有限公司,24.1856002,120.6677726,台中市北屯區,陳平路79號1樓
89203289,家富不動產開發有限公司,24.1533795,120.6692943,台中市西區,博館一街105號5樓之1
12822924,匯揚不動產經紀實業有限公司,24.172525,120.680552,台中市北屯區,文心路4段290號1樓
97345120,惠?實業股份有限公司,24.1393131,120.696325,台中市東區,建成路342之2號1樓
13064815,台仲不動產經紀有限公司,24.158707,120.6801326,台中市北區,育德里五常街162號1樓
13078607,宏強不動產經紀有限公司,24.2537986,120.8270974,台中市東勢區,南平里文化街40號1樓
13078043,圓大不動產經紀有限公司,24.1569688,120.6493791,台中市西屯區,何成里大墩十八街87號1樓
86096763,中村開發實業有限公司,24.1766265,120.6425608,台中市西屯區,福林里福順路330號1樓
81538430,富貴房屋仲介行,24.1868,120.6059736,台中市西屯區,福聯里福瑞街27巷10號1樓
13079036,億錢朝富不動產經紀股份有限公司,24.170146,120.6331856,台中市西屯區,潮洋里朝馬路168號20樓之1
97897615,大允房屋仲介行,24.1850535,120.6081405,台中市西屯區,福聯街22巷3號
16231533,歡喜家房屋仲介有限公司,24.1726133,120.6871743,台中市北屯區,遼陽四街32號
86680625,盛吉實業股份有限公司,24.1793722,120.6143217,台中市西屯區,工業一路60號1樓
79968216,伯欣成不動產經紀有限公司,24.149948,120.7091841,台中市太平區,樹德一街13巷49號1樓
79972555,居億不動產仲介經紀有限公司,24.1824193,120.6983543,台中市北屯區,松茂里松義街82號1樓
97373384,盛吉不動產經紀有限公司,24.1861861,120.6087507,台中市西屯區,福聯里福順路872號1樓
84208692,岦屋企業有限公司,24.1738969,120.647268,台中市西屯區,河南路2段346號1樓
86937273,巨象開發事業有限公司,24.1625259,120.7056323,台中市太平區,太興路18號7樓之2
14598752,永惠不動產經紀業,24.1690646,120.6605342,台中市西屯區,何德里重慶路228號1樓
97353486,敬業房屋仲介有限公司,24.1633366,120.677406,台中市北區,進化北路392之2號7樓之1
16483360,鼎堉實業有限公司,24.1822899,120.6895569,台中市北屯區,松強里松竹路2段368號1樓
87646040,全勝房屋租售介紹中心,24.1812448,120.6662377,台中市北屯區,新平里中清路2段495號1樓
80231714,春耕不動產經紀股份有限公司,24.1856276,120.6637288,台中市北屯區,中清路2段727號1樓
89226017,日月利廣告企劃有限公司,24.1353886,120.6655088,台中市西區,後龍里五權路97號1樓
80248320,聯想不動產仲介經紀有限公司,24.14002,120.6473995,台中市南屯區,溝墘里文心路1段500號1至3樓及502號1至3樓
14277479,千惠房屋仲介行,24.185253,120.6075613,台中市西屯區,福聯里福聯街17號1樓
80257024,侑正不動產經紀有限公司,24.1719501,120.6944976,台中市北屯區,平田里興安路1段331號1樓
16644350,耕源開發企業有限公司,24.1723135,120.688347,台中市北屯區,平心里遼陽四街72號1樓
80057460,馨屋實業有限公司,24.1640839,120.6715318,台中市北區,明德里忠太東路117之11號
80065335,聯發廣告開發有限公司,24.1355689,120.6453248,台中市南屯區,向心里文心南二路227號1樓
80066545,友屋不動產經紀業有限公司,24.1815237,120.6861019,台中市北屯區,遼寧路1段162號1樓
80079252,鼎賦有限公司,24.170491,120.6980241,台中市北屯區,東山路1段146之19號1樓
70592415,卡奇基開發有限公司,24.1307113,120.6645667,台中市西區,公館里三民路1段50巷7號1樓
22666606,大台中房屋仲介股份有限公司,24.1457421,120.6765845,台中市中區,中華路1段109號8樓之1
80002590,躍世紀不動產經紀有限公司,24.1500254,120.6409277,台中市南屯區,惠中路3段33號1樓
80007906,群義不動產經紀股份有限公司,24.14002,120.6473995,台中市南屯區,文心路1段424號1樓
14591884,勝昶企業社,24.1710034,120.6929801,台中市北屯區,天津路4段305號3樓
80017637,源商資產管理有限公司,24.1160003,120.6543023,台中市南區,文心南路677號
80415142,心義不動產仲介經紀有限公司,24.1806887,120.6207881,台中市西屯區,臺灣大道4段768號
80414729,翔瀚開發實業有限公司,24.1758788,120.6588606,台中市西屯區,河南路1段38號1樓
98733416,誠佳房屋仲介商行,24.129496,120.657255,台中市南區,忠明南路604號1樓
86191773,如春房屋仲介有限公司,24.150651,120.6531991,台中市西區,東興路3段160號3樓之3
16230160,寶欣憶管理顧問有限公司,24.187204,120.6063349,台中市西屯區,福科路935號1樓
80554951,宇良實業有限公司,24.1588972,120.6828927,台中市北區,邱厝里健行路371之5號
99077178,合順房屋租售介紹中心,24.1291338,120.6741467,台中市南區,新榮里學府路166號1樓
80482654,嘉陞土地開發有限公司,24.1580977,120.6433136,台中市西屯區,惠來里市政北一路77號11樓之14
80615578,詠勝不動產經紀有限公司,24.1704558,120.6448136,台中市西屯區,青海路1段186號1樓
12910102,喬淵企劃行銷有限公司,24.14002,120.6473995,台中市南屯區,文心路1段260號17樓之1
80632534,正業不動產經紀有限公司,24.1544524,120.6352555,台中市南屯區,三義里文心一路400之4號1樓
80701074,傳承不動產仲介有限公司,24.1574013,120.662679,台中市西區,忠明里中美街622號
80707513,意如不動產經紀業有限公司,24.1255272,120.6623353,台中市南區,南昌街46號1樓
80719285,珈瑪實業有限公司,24.1711287,120.6378276,台中市西屯區,至善里臺灣大道3段686之1號3樓
80745143,玉神股份有限公司,24.140412,120.655829,台中市西區,土庫里美村路1段464號1樓
27277423,楊立行銷有限公司,24.1950959,120.6856908,台中市北屯區,仁美里崇德十六路285號11樓之1
27283570,大昱山房屋仲介有限公司,24.1763465,120.7193722,台中市北屯區,水景里軍功路1段453號1樓
27288435,漢翔不動產經紀有限公司,24.186883,120.6401333,台中市西屯區,西墩里黎明路3段549號
27383445,禾勤房屋仲介有限公司,24.14002,120.6473995,台中市南屯區,文心路1段378號14樓之8
27402055,金威房屋仲介有限公司,24.1815237,120.6861019,台中市北屯區,軍功路1段543號1樓
27427181,美佳家實業有限公司,24.1243795,120.679084,台中市南區,積善里國光路240號1樓
27422165,安堡不動產經紀有限公司,24.1656541,120.6599951,台中市西屯區,何德里成都路14號1樓
27451251,凱璽行銷有限公司,24.1418958,120.648457,台中市南屯區,同心里大墩五街306號5樓之4
70606157,大師全球不動產開發股份有限公司,24.1568117,120.6365346,台中市西屯區,河南路4段159號1樓
80052541,長慶不動產行銷有限公司,24.1720554,120.646075,台中市西屯區,逢甲里西屯路2段258之28號1樓
27586201,必有成房地有限公司,24.1601605,120.6378898,台中市西屯區,市政路500號21樓之7
27509015,佑信不動產經紀有限公司,24.1815237,120.6861019,台中市北屯區,軍功路1段493號1樓
27595145,永業不動產有限公司,24.1826358,120.6246019,台中市西屯區,安和路133之1號1樓
27832230,里優不動產經紀有限公司,24.1799089,120.686228,台中市北屯區,崇德路2段458號1樓
27860988,萬閤廣告企劃事業有限公司,24.1576798,120.6580182,台中市西區,忠誠里臺灣大道2段573號5樓
8807099,興旺房屋仲介商行,24.1283382,120.7170402,台中市太平區,中興里中興路50號
27890462,信主房屋仲介有限公司,24.1609378,120.6811069,台中市北區,建興里學士路242號
28013081,大福科產業有限公司,24.1873133,120.6058457,台中市西屯區,福科路949號1樓
28021097,家鼎不動產經紀有限公司,24.1835448,120.6392727,台中市西屯區,黎明路3段425號
9231208,友慶企業社,24.1466166,120.653587,台中市西區,公正里向上路1段521號1樓
27432430,里禾廣告有限公司,24.1499615,120.665113,台中市西區,英才路530號17樓之2
28092867,建喬不動產經紀有限公司,24.1370295,120.6492537,台中市南屯區,南屯路2段248號1樓
28101583,漢新不動產經紀有限公司,24.1632009,120.6579249,台中市西屯區,何明里漢口路2段14號1樓
27856859,伊士泰德物業管理有限公司,24.1394533,120.6584944,台中市西區,土庫里五權一街144號1樓
28156279,誠寶房屋仲介有限公司,24.1697107,120.6464807,台中市西屯區,上石里青海路2段210號1樓
16912236,義順房屋仲介有限公司,24.1687503,120.6763779,台中市北區,賴明里青島路2段75號1樓
28363473,太初國際地產有限公司,24.1674421,120.6847664,台中市北區,崇德路一段629號7樓之1之1
28354685,第寶不動產經紀有限公司,24.1311606,120.6624887,台中市南區,西川里柳川東路1段81號1樓
27398186,立欣不動產開發有限公司,24.1008707,120.6604011,台中市南區,樹德里東興路1段31號1樓
28518033,大理實廣告事業有限公司,24.1711287,120.6378276,台中市西屯區,至善里臺灣大道3段686之1號3樓
28513353,誠信開發房屋仲介股份有限公司,24.1688859,120.701013,台中市北屯區,三和里東光路880號1樓
28525843,豐耕不動產經紀有限公司,24.1630333,120.6776557,台中市北區,進化北路391號1樓
28550103,明城不動產經紀有限公司,24.1815237,120.6861019,台中市北屯區,軍功路1段546號1樓
28137626,高瑞不動產股份有限公司,24.1729,120.6782302,台中市北區,文心路4段212號10樓之2
28582695,昶勝不動產仲介經紀有限公司,24.1583771,120.6641617,台中市西區,忠明里美村路1段76號1樓
28362587,奕筑興業有限公司,24.164859,120.660628,台中市西屯區,何德里漢口路2段97號1樓
28641049,金和利廣告股份有限公司,24.1669602,120.7291141,台中市北屯區,景賢路58號2樓之10
28658717,幸福不動產有限公司,24.1666326,120.6912145,台中市北屯區,昌平路1段45號1樓
28622373,皇成不動產開發有限公司,24.1467129,120.6732376,台中市西區,後龍里中山路470號
28653001,聯勤不動產經紀有限公司,24.1652082,120.6868493,台中市北區,崇德里崇德路1段492號
45451373,松青房屋仲介行,24.172944,120.6730487,台中市北區,青島一街3號
28729987,宏業不動產有限公司,24.1407982,120.6331797,台中市南屯區,永定里永春東七路601號
28733336,台灣多利國際開發企業有限公司,24.1558974,120.6398949,台中市西屯區,市政南二路28號1樓
27422670,狀元地產開發有限公司,24.1765717,120.6810538,台中市北屯區,平陽里大連路1段310號
28753971,上弘不動產仲介經紀有限公司,24.151815,120.6370187,台中市南屯區,河南路4段390號1樓
28758005,忠明不動產管理有限公司,24.128857,120.658162,台中市南區,忠明南路695號1樓
28781420,仲亮地產經紀有限公司,24.1471183,120.6084832,台中市南屯區,黎明路1段37巷76號1樓
28356831,寶中利開發有限公司,24.1531885,120.6868805,台中市北區,新北里錦新街70之2號1樓
28811986,精耕不動產經紀有限公司,24.1709101,120.6473131,台中市西屯區,西屯路2段256巷6號8樓之2
28799370,敦品開發經紀有限公司,24.1695777,120.7068652,台中市北屯區,水景里東山路1段192之1號1樓
28874840,上廣不動產有限公司,24.1541052,120.6500782,台中市南屯區,大墩路750號1樓
45297576,連順開發商行,24.1450536,120.7062833,台中市東區,東英里東英路600號1樓
28875910,富商工業地產有限公司,24.1556755,120.6099158,台中市南屯區,工業十八路31之1號
45558699,蘋果房屋企業社,24.1466166,120.653587,台中市西區,公正里向上路1段551號1樓
45561673,卓誠不動產仲介行,24.1531789,120.6591339,台中市西區,忠明里中美街419巷34號４樓
28650573,精英標售有限公司,24.1373258,120.6653865,台中市西區,公民里五權路1之67號7樓之3之1
28937275,逸象廣告企劃有限公司,24.1585301,120.6358258,台中市西屯區,市政南一路100號5樓之1
29082108,家鼎興業有限公司,24.1585037,120.6490858,台中市西屯區,大隆路176號1樓
28891094,世界鴻廣告事業股份有限公司,24.1556779,120.6552885,台中市西區,忠誠里大隆路20號5樓之7
29106517,冠霆不動產開發有限公司,24.1761366,120.6542926,台中市西屯區,何源里河南路1段40號
27450252,錸德土地管理有限公司,24.1664785,120.6977593,台中市北屯區,北屯路212巷12號1樓
24204383,捷陽不動產有限公司,24.1652934,120.6774163,台中市北區,太原路1段448之6號1樓
24212118,鑫群廣告企劃有限公司,24.143015,120.636751,台中市南屯區,永定里五權西路2段758號3樓
89314341,匯德地產開發有限公司,24.1340516,120.6369468,台中市南屯區,豐樂里文心南三路1109號1樓
24212877,富屋不動產經紀有限公司,24.1381361,120.7044225,台中市東區,樂業路370號1樓
24226540,億營開發股份有限公司,24.1538398,120.6409905,台中市南屯區,大業路472號
45835414,允成不動產企業社,24.1539573,120.6947214,台中市北區北區,北錦村里進化路342號1樓
45732439,美村房地產仲介商行,24.1358672,120.6624101,台中市西區,吉龍里美村路1段635號1樓
24261882,鼎旺不動產有限公司,24.1699057,120.6803384,台中市北屯區,天津路3段35之1號
24269126,聯京房屋仲介有限公司,24.1729085,120.6882867,台中市北屯區,平心里瀋陽路3段39號1樓
29107446,晟家國際事業有限公司,24.1659664,120.6469673,台中市西屯區,惠來里惠中路106號1樓
24275540,英捷不動產股份有限公司,24.1760287,120.6384847,台中市西屯區,西安里青海路2段422號1樓
28598198,櫻花貿易有限公司,24.1561725,120.6588727,台中市西區,忠明南路16號12樓之9
24297066,士圓不動產經紀有限公司,24.1278376,120.6748374,台中市南區,長榮里學府路106號
24361192,同旺有限公司,24.1721083,120.6471394,台中市西屯區,寶慶街50巷13號9樓之16
24373394,上晟不動產仲介有限公司,24.1724016,120.6628917,台中市西屯區,大鵬里文心路3段241號22樓之2
24372162,承臻房屋仲介有限公司,24.1536847,120.6366024,台中市南屯區,大業路558號1樓
24408859,吉力不動產有限公司,24.1436505,120.6500167,台中市南屯區,大墩路286號1樓
24419217,正鑫不動產股份有限公司,24.1412287,120.6469334,台中市南屯區,文心路1段186號9樓之4
24426006,西屯不動產仲介經紀有限公司,24.169831,120.6454623,台中市西屯區,上德里上石路156號1樓
24433061,鴻圖不動產有限公司,24.1556779,120.6552885,台中市西區,大隆路20號5樓之7
24429263,明新不動產顧問有限公司,24.1554584,120.6487283,台中市南屯區,溝墘里大墩十七街109號2樓之1
24436172,合百心有限公司,24.1633668,120.6576179,台中市西屯區,漢口路1段119號
45836011,龍騰不動產仲介社,24.1714856,120.6771657,台中市北區,北平路2段119號1樓
25025274,中科租賃有限公司,24.1902503,120.6151792,台中市西屯區,永安里國安一路29號1樓
25046778,中華大師開發實業有限公司,24.1568117,120.6365346,台中市西屯區,河南路4段159號1樓
25075323,合發不動產經紀有限公司,24.1279875,120.6747664,台中市南區,學府路116號1樓
27856746,三優利廣告有限公司,24.1578052,120.6488262,台中市西屯區,大容東街90號12樓
25098120,康朵實業有限公司,24.138447,120.6221318,台中市南屯區,新德街300號1樓
25150949,廣論不動產有限公司,24.1632304,120.6840225,台中市北區,進化北路238號6樓之2
25154305,永首房屋仲介有限公司,24.1702767,120.6506233,台中市西屯區,櫻城一街76號1樓
25173577,鉅仲有限公司,24.189681,120.6795176,台中市北屯區,崇德十路2段172之5號1樓
25159168,三弘不動產仲介經紀有限公司,24.1488282,120.633369,台中市南屯區,三和里永春東七路843號
25168791,金檜傳說實業股份有限公司,24.148437,120.6488259,台中市南屯區,大英街318號1樓
25180465,廣鴻地產有限公司,24.1711527,120.6854752,台中市北屯區,崇德路2段130號3樓
25172325,旭日不動產經紀有限公司,24.153884,120.6381246,台中市南屯區,三義里惠來路1段1號
45851883,惠中房屋仲介地產店,24.1208445,120.6624117,台中市南區,平和里美村路2段402號1樓
25180747,群曜不動產經紀有限公司,24.1424582,120.6379746,台中市南屯區,豐樂里黎明路1段924號1樓
25195523,中華標售有限公司,24.1373258,120.6653865,台中市西區,五權路1之67號7樓之3之1
25187679,穎茂不動產經紀有限公司,24.1446346,120.7072904,台中市東區,東英里十甲路373號1樓
53033846,三益不動產有限公司,24.182992,120.6657942,台中市北屯區,中清路2段608號1樓
53034465,品都房屋仲介有限公司,24.1649995,120.7064775,台中市北屯區,太原路3段621號1樓
53039911,源商不動產經紀有限公司,24.1686392,120.685005,台中市北屯區,崇德路2段6號1樓
53052414,大晟開發建設有限公司,24.1724016,120.6628917,台中市西屯區,文心路3段241號22樓之2
53044983,光陽房屋仲介企業有限公司,24.1637202,120.6509843,台中市西屯區,何安里文心路3段6之5號1樓
28794564,尚豪廣告企劃有限公司,24.1425944,120.6439292,台中市南屯區,田心里大墩六街351號13樓之3
24429003,普安開發股份有限公司,24.1277441,120.6562024,台中市南區,崇倫里西川一路155號
53054829,尚記不動產經紀有限公司,24.1506573,120.6535701,台中市西區,公益路381號1樓
29125346,昇輝國際事業有限公司,24.1753926,120.6136722,台中市西屯區,工業一路96之25號1樓
53066085,如鴻廣告股份有限公司,24.1444998,120.6359232,台中市南屯區,永定里三厝街82號1樓
53071926,群雄不動產經紀有限公司,24.1505593,120.6125671,台中市南屯區,文山里向上路5段150號
53060998,寶利發興業有限公司,24.1598648,120.647223,台中市西屯區,惠來里文心路二段201號16樓之8
53129700,愛名家不動產經紀有限公司,24.1647843,120.6361788,台中市西屯區,朝富路152號1樓
53142859,東鑫廣告有限公司,24.1815237,120.6861019,台中市北屯區,遼寧路1段15號2樓
53132450,群策行銷有限公司,24.150651,120.6531991,台中市西區,公正里東興路3段160號6樓之3
13061676,豐碩廣告事業有限公司,24.1471675,120.6685462,台中市西區,民權路213巷15號1樓
97447647,富旺國際開發股份有限公司,24.1559489,120.6549239,台中市西區,大隆路20號4樓之5
27910447,廣宣廣告企劃有限公司,24.1208495,120.6656091,台中市南區,美和街66巷11號8樓之2
53144250,旭立廣告事業有限公司,24.1553136,120.6667272,台中市北區,淡溝里博館路89號9樓之1
53160096,市民不動產有限公司,24.1671858,120.6528625,台中市西屯區,何仁里文心路3段99號1樓
53145413,優式資產管理有限公司,24.1724193,120.6362692,台中市西屯區,潮洋里青海南街35號
53172488,富屋房屋仲介有限公司,24.1430453,120.647665,台中市南屯區,大英西一街61號1樓
16967771,達誠土地開發有限公司,24.1404724,120.6455386,台中市南屯區,向心路68巷6號
53173352,元大不動產開發有限公司,24.1763465,120.7193722,台中市北屯區,水景里軍功路1段281號
53262729,成家資產管理有限公司,24.1644576,120.67217,台中市北區,忠太東路117之9號1樓
53270586,福德不動產經紀有限公司,24.1403556,120.7062884,台中市東區,東英里旱溪街382號1樓
53275148,創義房屋仲介有限公司,24.1721003,120.64486,台中市西屯區,河南路2段438號
53291246,伍大不動產仲介有限公司,24.1582742,120.6526734,台中市西屯區,何南里大聖街480號1樓
53266422,地寶開發建設有限公司,24.1430525,120.6408961,台中市南屯區,溝墘里惠中路3段357號1樓
53294617,太慶不動產有限公司,24.1858679,120.6637187,台中市北屯區,中清路2段737號1樓
53297092,一甲不動產經紀有限公司,24.1508824,120.6375994,台中市南屯區,三和里河南路4段395號1樓
53300385,鑫立開發有限公司,24.1556892,120.7157108,台中市太平區,樹德八街115號1樓
53301954,永騰錩不動產開發有限公司,24.1759554,120.6515601,台中市西屯區,逢福里河南路2段173號1樓
53303799,好事多不動產經紀有限公司,24.138587,120.6701085,台中市西區,平和里林森路126號
53308838,帝德國際實業股份有限公司,24.1601492,120.6444618,台中市西屯區,市政北三路113號8樓之3
53304657,竑全不動產有限公司,24.2394187,120.5659352,台中市沙鹿區,居仁里臺灣大道7段890號1樓
53365083,耀輝不動產有限公司,24.1541444,120.686159,台中市北區,三民路3段210之15號1樓
53306613,廣兆土地開發有限公司,24.1871668,120.6673616,台中市北屯區,敦化路440號1樓
53361565,家誠不動產經紀有限公司,24.1392213,120.6328663,台中市南屯區,永春東七路539號
53359701,金宥不動產有限公司,24.182114,120.6418316,台中市西屯區,福星路120號1樓及122號1、2樓
53360398,中都不動產股份有限公司,24.1840048,120.6860185,台中市北屯區,仁和里崇德十路1段532號
53501550,品味建築股份有限公司,24.1484119,120.6409013,台中市南屯區,惠中路3段75號
53374914,正業不動產有限公司,24.1695777,120.7068652,台中市北屯區,水景里東山路1段192之23號1樓
53383511,永安不動產開發有限公司,24.1788509,120.6679026,台中市北屯區,中清路2段323號1樓
53376639,喬富土地開發有限公司,24.2549679,120.7293649,台中市豐原區,水源路597號1樓
25057090,倖福開發有限公司,24.1846487,120.6688251,台中市北屯區,陳平路60巷21號1樓
53372492,金富不動產有限公司,24.158426,120.7296282,台中市北屯區,?子里環太東路475號
53367532,信昌土地開發有限公司,24.3040984,120.7125895,台中市后里區,墩東里四村路50號
27397882,有乾行銷有限公司,24.1482198,120.634111,台中市南屯區,三厝里大墩十一街785號
53166280,陽明房訊不動產有限公司,24.1608312,120.6767568,台中市北屯區,平和里梅川東路4段105號1樓
53399794,躍昇不動產經紀業有限公司,24.1517109,120.653294,台中市西區,公平里東興路3段186號1樓
53471768,億豐開發有限公司,24.1729963,120.6385062,台中市西屯區,逢甲路351號
26812480,地寶不動產企業社,24.2532467,120.830754,台中市東勢區,上新里三民街66號1樓
53406943,圓興不動產仲介有限公司,24.2536231,120.8263348,台中市東勢區,東關路七段360號
45592606,元品行銷企劃社,24.1658296,120.6757131,台中市北區,賴厝里太原路2段37號13樓之1
9302836,元禎行銷企劃社,24.145632,120.6364084,台中市南屯區,三厝里黎明路2段137號10樓之9
28017663,甫冠企劃有限公司,24.1062711,120.6750258,台中市大里區,爽文路716號2樓
53492314,誠佳開發實業有限公司,24.14002,120.6473995,台中市南屯區,文心路1段462之1號
53390533,新家鑫廣告有限公司,24.1729874,120.6704107,台中市北區,北平三街6號
53491167,高衍不動產仲介有限公司,24.1075251,120.6750127,台中市大里區,永隆里爽文路780號1樓
25006760,掄元不動產有限公司,24.1637494,120.6510578,台中市西屯區,何安里文心路3段6號16樓之10
80734336,鴻瑩不動產有限公司,24.1810457,120.6459973,台中市西屯區,西平里文華路155巷5號2樓之2
10974678,興大不動產企業社,24.1102651,120.6865225,台中市大里區,長榮里東榮路137號2樓
53511831,弘宬不動產經紀業有限公司,24.1588228,120.6706844,台中市北區,民權路472之5號1樓
53611162,聯合不動產經紀有限公司,24.1806265,120.6670701,台中市北屯區,中清路2段448、450號
53610656,信基不動產有限公司,24.1597954,120.6939554,台中市北區,進化路577之1、577之2號
53620036,春天不動產經紀有限公司,24.1814573,120.6841823,台中市北屯區,松竹路3段61號1樓
53621458,梧桐院子築藝有限公司,24.162476,120.6314839,台中市西屯區,潮洋里市政路666號1樓
53634030,三穗不動產經紀有限公司,24.172394,120.643026,台中市西屯區,青海路2段252號1-2樓
53633573,頻果不動產經紀有限公司,24.182357,120.701339,台中市北屯區,和平里松竹路1段383號1樓
53633638,銳美不動產代銷事業有限公司,24.1821951,120.7239663,台中市太平區,新坪里建和路1段32號1樓
53642524,仕業開發股份有限公司,24.1432028,120.6431114,台中市南屯區,田心里惠文路326號1樓
53639725,太極房屋仲介有限公司,24.1772247,120.6856215,台中市北屯區,崇德路2段293號1樓
53640151,晶鑽不動產經紀有限公司,24.198978,120.753565,台中市北屯區,東山路2段130巷1號
53062855,宗易股份有限公司,24.1635951,120.6629268,台中市西區,西屯路1段96之1號1樓
53779963,承旺不動產仲介有限公司,24.251693,120.706617,台中市豐原區,豐圳里建成路91號1樓
53792467,世吉不動產有限公司,24.244675,120.7079387,台中市豐原區,西勢路155號1樓
53517080,丰悅建築有限公司,24.1453401,120.63327,台中市南屯區,五權西路2段918號1樓
53795529,建榮不動產經紀業有限公司,24.1446388,120.6500101,台中市西區,公正里大墩路348號1樓
16068378,遠流國際開發有限公司,24.1667744,120.6646368,台中市西屯區,漢口路2段229號2樓
53798390,詠順不動產經紀有限公司,24.1272589,120.6749806,台中市南區,德義里學府路90號1樓
53804007,宏觀開發有限公司,24.273506,120.5684929,台中市清水區,民治路66號
53804219,東興房仲事業有限公司,24.254795,120.8300606,台中市東勢區,南平里第二橫街12號1樓
53806737,家信不動產經紀有限公司,24.1392213,120.6328663,台中市南屯區,永定里永春東七路539號
53809489,雅豐不動產企業有限公司,24.1868319,120.6824609,台中市北屯區,仁和里梅川東路5段472號
53831166,大郡廣告有限公司,24.1740097,120.6703775,台中市北屯區,水湳里文心路3段1025號12樓
53832714,鎮家寶不動產開發有限公司,24.152207,120.7113762,台中市太平區,樹德路88之2號1樓
53858875,逢甲住進股份有限公司,24.176626,120.647053,台中市西屯區,文華路20號之8
53832637,精科房屋實業有限公司,24.1071212,120.6015705,台中市烏日區,三和里三榮路2段11號1樓
53841782,坤鑫不動產經紀有限公司,24.2154756,120.570754,台中市沙鹿區,屏西路357號
53838885,家賀不動產經紀有限公司,24.1534737,120.6670151,台中市西區,民龍里臺灣大道2段300號9樓之3
53851129,達利發興業有限公司,24.1549788,120.6940538,台中市北區,金華里興進路169號10樓之3
53846338,家和不動產有限公司,24.3103202,120.7102425,台中市后里區,大圳路639號1樓
53858994,佑家不動產有限公司,24.1043451,120.6386851,台中市烏日區,仁德里中山路1段509號1樓
53854131,金大發不動產經紀業有限公司,24.1485319,120.71795,台中市太平區,宜昌里中山路3段63號1樓
53862195,權聖不動產經紀業有限公司,24.1867843,120.6400858,台中市西屯區,西墩里黎明路3段545號1樓
53871286,昌鼎不動產經紀有限公司,24.1511315,120.6332221,台中市南屯區,黎明里公益路2段618號1樓
28501461,大國興?有限公司,,,台中市中區,臺灣大道1段329號10樓之1
53960082,瑞晟不動產實業有限公司,24.1305517,120.6838646,台中市南區,城隍里忠孝路189之1號1樓
53965164,勝元不動產經紀股份有限公司,24.206313,120.564396,台中市沙鹿區,向上路7段128號1樓
53965663,如春開發有限公司,24.150651,120.6531991,台中市西區,東興路3段160號3樓之3
53973621,成運不動產仲介有限公司,24.1752863,120.6397462,台中市西屯區,逢甲路246號1樓
53974852,聚人不動產經紀有限公司,24.1471183,120.6084832,台中市西區,南屯路1段49號1樓、2樓
